Date,Open,High,Low,Close,Volume,Adj Close
2000-12-10,465.247,465.247,465.247,465.247,1000000,465.247
2000-12-11,467.384,467.384,467.384,467.384,1000000,467.384
2000-12-12,467.304,467.304,467.304,467.304,1000000,467.304
2000-12-13,468.111,468.111,468.111,468.111,1000000,468.111
2000-12-14,468.666,468.666,468.666,468.666,1000000,468.666
2000-12-15,470.002,470.002,470.002,470.002,1000000,470.002
2000-12-16,470.001,470.001,470.001,470.001,1000000,470.001
2000-12-17,468.889,468.889,468.889,468.889,1000000,468.889
2000-12-18,469.605,469.605,469.605,469.605,1000000,469.605
2000-12-19,469.0,469.0,469.0,469.0,1000000,469.0
2000-12-20,466.66,466.66,466.66,466.66,1000000,466.66
2000-12-21,472.076,472.076,472.076,472.076,1000000,472.076
2000-12-22,472.0,472.0,472.0,472.0,1000000,472.0
2000-12-23,469.487,469.487,469.487,469.487,1000000,469.487
2000-12-24,470.516,470.516,470.516,470.516,1000000,470.516
2000-12-25,472.81,472.81,472.81,472.81,1000000,472.81
2000-12-26,472.371,472.371,472.371,472.371,1000000,472.371
2000-12-27,472.369,472.369,472.369,472.369,1000000,472.369
2000-12-28,472.12,472.12,472.12,472.12,1000000,472.12
2000-12-29,471.995,471.995,471.995,471.995,1000000,471.995
2000-12-30,472.264,472.264,472.264,472.264,1000000,472.264
2000-12-31,471.63,471.63,471.63,471.63,1000000,471.63
2001-01-01,470.922,470.922,470.922,470.922,1000000,470.922
2001-01-02,469.996,469.996,469.996,469.996,1000000,469.996
2001-01-03,470.19,470.19,470.19,470.19,1000000,470.19
2001-01-04,471.5,471.5,471.5,471.5,1000000,471.5
2001-01-05,470.799,470.799,470.799,470.799,1000000,470.799
2001-01-06,469.463,469.463,469.463,469.463,1000000,469.463
2001-01-07,465.959,465.959,465.959,465.959,1000000,465.959
2001-01-08,467.634,467.634,467.634,467.634,1000000,467.634
2001-01-09,466.0,466.0,466.0,466.0,1000000,466.0
2001-01-10,467.99,467.99,467.99,467.99,1000000,467.99
2001-01-11,468.29,468.29,468.29,468.29,1000000,468.29
2001-01-12,469.0,469.0,469.0,469.0,1000000,469.0
2001-01-13,467.871,467.871,467.871,467.871,1000000,467.871
2001-01-14,467.006,467.006,467.006,467.006,1000000,467.006
2001-01-15,470.875,470.875,470.875,470.875,1000000,470.875
2001-01-16,470.848,470.848,470.848,470.848,1000000,470.848
2001-01-17,468.995,468.995,468.995,468.995,1000000,468.995
2001-01-18,471.7,471.7,471.7,471.7,1000000,471.7
2001-01-19,469.835,469.835,469.835,469.835,1000000,469.835
2001-01-20,468.996,468.996,468.996,468.996,1000000,468.996
2001-01-21,470.0,470.0,470.0,470.0,1000000,470.0
2001-01-22,471.0,471.0,471.0,471.0,1000000,471.0
2001-01-23,472.0,472.0,472.0,472.0,1000000,472.0
2001-01-24,474.0,474.0,474.0,474.0,1000000,474.0
2001-01-25,474.99,474.99,474.99,474.99,1000000,474.99
2001-01-26,476.25,476.25,476.25,476.25,1000000,476.25
2001-01-27,477.0,477.0,477.0,477.0,1000000,477.0
2001-01-28,479.82,479.82,479.82,479.82,1000000,479.82
2001-01-29,480.0,480.0,480.0,480.0,1000000,480.0
2001-01-30,479.39,479.39,479.39,479.39,1000000,479.39
2001-01-31,476.089,476.089,476.089,476.089,1000000,476.089
2001-02-01,480.0,480.0,480.0,480.0,1000000,480.0
2001-02-02,485.0,485.0,485.0,485.0,1000000,485.0
2001-02-03,481.821,481.821,481.821,481.821,1000000,481.821
2001-02-04,482.0,482.0,482.0,482.0,1000000,482.0
2001-02-05,484.82,484.82,484.82,484.82,1000000,484.82
2001-02-06,483.799,483.799,483.799,483.799,1000000,483.799
2001-02-07,482.0,482.0,482.0,482.0,1000000,482.0
2001-02-08,481.14,481.14,481.14,481.14,1000000,481.14
2001-02-09,481.768,481.768,481.768,481.768,1000000,481.768
2001-02-10,481.999,481.999,481.999,481.999,1000000,481.999
2001-02-11,481.0,481.0,481.0,481.0,1000000,481.0
2001-02-12,487.15,487.15,487.15,487.15,1000000,487.15
2001-02-13,489.5,489.5,489.5,489.5,1000000,489.5
2001-02-14,499.502,499.502,499.502,499.502,1000000,499.502
2001-02-15,492.0,492.0,492.0,492.0,1000000,492.0
2001-02-16,490.52,490.52,490.52,490.52,1000000,490.52
2001-02-17,490.8,490.8,490.8,490.8,1000000,490.8
2001-02-18,490.2,490.2,490.2,490.2,1000000,490.2
2001-02-19,487.534,487.534,487.534,487.534,1000000,487.534
2001-02-20,486.0,486.0,486.0,486.0,1000000,486.0
2001-02-21,491.0,491.0,491.0,491.0,1000000,491.0
2001-02-22,489.925,489.925,489.925,489.925,1000000,489.925
2001-02-23,490.55,490.55,490.55,490.55,1000000,490.55
2001-02-24,490.0,490.0,490.0,490.0,1000000,490.0
2001-02-25,487.0,487.0,487.0,487.0,1000000,487.0
2001-02-26,491.995,491.995,491.995,491.995,1000000,491.995
2001-02-27,493.431,493.431,493.431,493.431,1000000,493.431
2001-02-28,494.51,494.51,494.51,494.51,1000000,494.51
2001-03-01,490.0,490.0,490.0,490.0,1000000,490.0
2001-03-02,487.501,487.501,487.501,487.501,1000000,487.501
2001-03-03,484.53,484.53,484.53,484.53,1000000,484.53
2001-03-04,483.086,483.086,483.086,483.086,1000000,483.086
2001-03-05,489.681,489.681,489.681,489.681,1000000,489.681
2001-03-06,491.5,491.5,491.5,491.5,1000000,491.5
2001-03-07,491.026,491.026,491.026,491.026,1000000,491.026
2001-03-08,489.922,489.922,489.922,489.922,1000000,489.922
2001-03-09,490.033,490.033,490.033,490.033,1000000,490.033
2001-03-10,490.033,490.033,490.033,490.033,1000000,490.033
2001-03-11,491.7,491.7,491.7,491.7,1000000,491.7
2001-03-12,490.0,490.0,490.0,490.0,1000000,490.0
2001-03-13,490.005,490.005,490.005,490.005,1000000,490.005
2001-03-14,488.28,488.28,488.28,488.28,1000000,488.28
2001-03-15,487.0,487.0,487.0,487.0,1000000,487.0
2001-03-16,484.01,484.01,484.01,484.01,1000000,484.01
2001-03-17,484.0,484.0,484.0,484.0,1000000,484.0
2001-03-18,485.0,485.0,485.0,485.0,1000000,485.0
2001-03-19,486.0,486.0,486.0,486.0,1000000,486.0
2001-03-20,487.615,487.615,487.615,487.615,1000000,487.615
